Department,Year/Term,Metric,Value
ACC,2021-2022,Avg_Class_Size,21.4
ACC,2022-2023,Avg_Class_Size,21.4
ACC,2023-2024,Avg_Class_Size,21.6
ACC,2024-2025,Avg_Class_Size,24.2
ACC,2025-2026,Avg_Class_Size,24.2
ACC,Fall 2021,CHP,762
ACC,Fall 2022,CHP,711
ACC,Fall 2023,CHP,786
ACC,Fall 2024,CHP,732
ACC,Fall 2025,CHP,669
ACC,Spring 2022,CHP,651
ACC,Spring 2023,CHP,660
ACC,Spring 2024,CHP,702
ACC,Spring 2025,CHP,658
ACC,Spring 2026,CHP,726
ACC,Fall 2021,DFWI,0.264
ACC,Fall 2022,DFWI,0.354
ACC,Fall 2023,DFWI,0.344
ACC,Fall 2024,DFWI,0.254
ACC,Spring 2022,DFWI,0.249
ACC,Spring 2023,DFWI,0.332
ACC,Spring 2024,DFWI,0.333
ACC,Spring 2025,DFWI,0.272
ACC,Fall 2025,DFWI,0.247
ACC,2021-2022,Fill_Rate,0.62
ACC,2022-2023,Fill_Rate,0.64
ACC,2023-2024,Fill_Rate,0.61
ACC,2024-2025,Fill_Rate,0.73
ACC,2025-2026,Fill_Rate,0.7
ACC,Fall 2024,FTEs,25
ACC,Fall 2025,FTEs,23
ACC,Spring 2024,FTEs,24
ACC,Spring 2025,FTEs,22
ACC,Spring 2022,FTEs,20
ACC,Spring 2023,FTEs,22
ACC,Fall 2022,FTEs,24
ACC,Fall 2023,FTEs,26
ACC,Fall 2021,FTEs,22
ACC,2021-2022,Grad_4_Year,0
ACC,2022-2023,Grad_4_Year,
ACC,2023-2024,Grad_4_Year,
ACC,2024-2025,Grad_4_Year,0
ACC,2021-2022,Grad_5_Year,0
ACC,2022-2023,Grad_5_Year,0
ACC,2023-2024,Grad_5_Year,
ACC,2024-2025,Grad_5_Year,
ACC,2021-2022,Grad_6_Year,0
ACC,2022-2023,Grad_6_Year,0
ACC,2023-2024,Grad_6_Year,0
ACC,2024-2025,Grad_6_Year,
ACC,2021-2022,Graduates,1
ACC,2022-2023,Graduates,2
ACC,2023-2024,Graduates,3
ACC,2024-2025,Graduates,1
ACC,Fall 2021,Majors,8
ACC,Fall 2022,Majors,9
ACC,Fall 2023,Majors,11
ACC,Fall 2024,Majors,5
ACC,Fall 2025,Majors,5
ACC,Spring 2022,Majors,9
ACC,Spring 2023,Majors,11
ACC,Spring 2024,Majors,8
ACC,Spring 2025,Majors,4
ACC,Spring 2026,Majors,2
ACC,2021-2022,Online_CHP,0.67
ACC,2022-2023,Online_CHP,0.63
ACC,2023-2024,Online_CHP,0.67
ACC,2024-2025,Online_CHP,0.59
ACC,2021-2022,Profit_Loss,($0.33)
ACC,2022-2023,Profit_Loss,($0.54)
ACC,2023-2024,Profit_Loss,($0.16)
ACC,2024-2025,Profit_Loss,($0.25)
ACC,2025-2026,Profit_Loss,($0.27)
ACC,2022-2023,Retention,0.857
ACC,2023-2024,Retention,0.857
ACC,2024-2025,Retention,0.5
ACC,2025-2026,Retention,0.75
ACC,2022-2023,Retention_FTFT,1
ACC,2023-2024,Retention_FTFT,
ACC,2024-2025,Retention_FTFT,1
ACC,2025-2026,Retention_FTFT,
ACC,2022-2023,Retention_Transfer,0.8
ACC,2023-2024,Retention_Transfer,0.833
ACC,2024-2025,Retention_Transfer,0.4
ACC,2024-2025,Retention_Transfer,1
ACC,Fall 2024,Seats_Filled,247
ACC,Fall 2025,Seats_Filled,226
ACC,Spring 2024,Seats_Filled,235
ACC,Spring 2025,Seats_Filled,216
ACC,Spring 2022,Seats_Filled,200
ACC,Spring 2023,Seats_Filled,220
ACC,Fall 2022,Seats_Filled,240
ACC,Fall 2023,Seats_Filled,259
ACC,Fall 2021,Seats_Filled,225
CIS,2021-2022,Avg_Class_Size,16.4
CIS,2022-2023,Avg_Class_Size,14.6
CIS,2023-2024,Avg_Class_Size,16.1
CIS,2024-2025,Avg_Class_Size,15.8
CIS,2025-2026,Avg_Class_Size,16.7
CIS,Fall 2021,CHP,4234
CIS,Fall 2022,CHP,3853
CIS,Fall 2023,CHP,3856
CIS,Fall 2024,CHP,3696
CIS,Fall 2025,CHP,3824
CIS,Spring 2022,CHP,3695
CIS,Spring 2023,CHP,3776
CIS,Spring 2024,CHP,3830
CIS,Spring 2025,CHP,3707
CIS,Spring 2026,CHP,3688
CIS,Fall 2021,DFWI,0.118
CIS,Fall 2022,DFWI,0.151
CIS,Fall 2023,DFWI,0.106
CIS,Fall 2024,DFWI,0.147
CIS,Spring 2022,DFWI,0.127
CIS,Spring 2023,DFWI,0.116
CIS,Spring 2024,DFWI,0.104
CIS,Spring 2025,DFWI,0.115
CIS,Fall 2025,DFWI,0.138
CIS,2021-2022,Fill_Rate,0.64
CIS,2022-2023,Fill_Rate,0.68
CIS,2023-2024,Fill_Rate,0.79
CIS,2024-2025,Fill_Rate,0.8
CIS,2025-2026,Fill_Rate,0.84
CIS,Fall 2024,FTEs,124
CIS,Fall 2025,FTEs,130
CIS,Spring 2024,FTEs,127
CIS,Spring 2025,FTEs,125
CIS,Spring 2022,FTEs,122
CIS,Spring 2023,FTEs,125
CIS,Fall 2022,FTEs,128
CIS,Fall 2023,FTEs,128
CIS,Fall 2021,FTEs,141
CIS,2021-2022,Grad_4_Year,0.04
CIS,2022-2023,Grad_4_Year,0.021
CIS,2023-2024,Grad_4_Year,0.038
CIS,2024-2025,Grad_4_Year,0.143
CIS,2021-2022,Grad_5_Year,0.075
CIS,2022-2023,Grad_5_Year,0.08
CIS,2023-2024,Grad_5_Year,0.17
CIS,2024-2025,Grad_5_Year,0.154
CIS,2021-2022,Grad_6_Year,0.147
CIS,2022-2023,Grad_6_Year,0.175
CIS,2023-2024,Grad_6_Year,0.16
CIS,2024-2025,Grad_6_Year,0.277
CIS,2021-2022,Graduates,72
CIS,2022-2023,Graduates,57
CIS,2023-2024,Graduates,73
CIS,2024-2025,Graduates,69
CIS,Fall 2021,Majors,428
CIS,Fall 2022,Majors,425
