Department,Year/Term,Metric,Value
AAS,2021-2022,Avg_Class_Size,21.4
AAS,2022-2023,Avg_Class_Size,21.4
AAS,2023-2024,Avg_Class_Size,21.6
AAS,2024-2025,Avg_Class_Size,24.2
AAS,Fall 2021,CHP,762
AAS,Fall 2022,CHP,711
AAS,Fall 2023,CHP,786
AAS,Fall 2024,CHP,732
AAS,Fall 2025,CHP,669
AAS,Spring 2022,CHP,651
AAS,Spring 2023,CHP,660
AAS,Spring 2024,CHP,702
AAS,Spring 2025,CHP,658
AAS,Fall 2021,DFWI,0.264
AAS,Fall 2022,DFWI,0.354
AAS,Fall 2023,DFWI,0.344
AAS,Fall 2024,DFWI,0.254
AAS,Spring 2022,DFWI,0.249
AAS,Spring 2023,DFWI,0.332
AAS,Spring 2024,DFWI,0.333
AAS,Spring 2025,DFWI,0.272
AAS,2021-2022,Fill_Rate,0.62
AAS,2022-2023,Fill_Rate,0.64
AAS,2023-2024,Fill_Rate,0.61
AAS,2024-2025,Fill_Rate,0.73
AAS,2021-2022,Grad_4_Year,0
AAS,2022-2023,Grad_4_Year,
AAS,2023-2024,Grad_4_Year,
AAS,2024-2025,Grad_4_Year,0
AAS,2021-2022,Grad_5_Year,0
AAS,2022-2023,Grad_5_Year,0
AAS,2023-2024,Grad_5_Year,
AAS,2024-2025,Grad_5_Year,
AAS,2021-2022,Grad_6_Year,0
AAS,2022-2023,Grad_6_Year,0
AAS,2023-2024,Grad_6_Year,0
AAS,2024-2025,Grad_6_Year,
AAS,2021-2022,Graduates,1
AAS,2022-2023,Graduates,2
AAS,2023-2024,Graduates,3
AAS,2024-2025,Graduates,1
AAS,Fall 2021,Majors,8
AAS,Fall 2022,Majors,9
AAS,Fall 2023,Majors,11
AAS,Fall 2024,Majors,5
AAS,Fall 2025,Majors,5
AAS,Spring 2022,Majors,9
AAS,Spring 2023,Majors,11
AAS,Spring 2024,Majors,8
AAS,Spring 2025,Majors,4
AAS,2021-2022,Online_CHP,0.67
AAS,2022-2023,Online_CHP,0.63
AAS,2023-2024,Online_CHP,0.67
AAS,2024-2025,Online_CHP,0.59
AAS,2021-2022,Profit_Loss,($0.33)
AAS,2022-2023,Profit_Loss,($0.54)
AAS,2023-2024,Profit_Loss,($0.16)
AAS,2024-2025,Profit_Loss,($0.25)
AAS,2022-2023,Retention,0.857
AAS,2023-2024,Retention,0.857
AAS,2024-2025,Retention,0.5
AAS,2025-2026,Retention,0.75
AAS,2022-2023,Retention_FTFT,1
AAS,2023-2024,Retention_FTFT,
AAS,2024-2025,Retention_FTFT,1
AAS,2025-2026,Retention_FTFT,
AAS,2022-2023,Retention_Transfer,0.8
AAS,2023-2024,Retention_Transfer,0.833
AAS,2024-2025,Retention_Transfer,0.4
AAS,2024-2025,Retention_Transfer,1
ART,2021-2022,Avg_Class_Size,16.4
ART,2022-2023,Avg_Class_Size,14.6
ART,2023-2024,Avg_Class_Size,16.1
ART,2024-2025,Avg_Class_Size,15.8
ART,Fall 2021,CHP,4234
ART,Fall 2022,CHP,3853
ART,Fall 2023,CHP,3856
ART,Fall 2024,CHP,3696
ART,Fall 2025,CHP,3824
ART,Spring 2022,CHP,3695
ART,Spring 2023,CHP,3776
ART,Spring 2024,CHP,3830
ART,Spring 2025,CHP,3707
ART,Fall 2021,DFWI,0.118
ART,Fall 2022,DFWI,0.151
ART,Fall 2023,DFWI,0.106
ART,Fall 2024,DFWI,0.147
ART,Spring 2022,DFWI,0.127
ART,Spring 2023,DFWI,0.116
ART,Spring 2024,DFWI,0.104
ART,Spring 2025,DFWI,0.115
ART,2021-2022,Fill_Rate,0.64
ART,2022-2023,Fill_Rate,0.68
